Concurso,Data Sorteio,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,Arrecadacao_Total,Ganhadores_Quina,Cidade,UF,Rateio_Quina,Ganhadores_Quadra,Rateio_Quadra,Ganhadores_Terno,Rateio_Terno,Ganhadores_Duque,Rateio_Duque,Acumulado,Valor_Acumulado,Estimativa_Premio,Valor_Acumulado_Sorteio_Especial_São_João
89,23/02/1995,2,32,40,53,54,000,0,&nbsp,&nbsp,000,152,1.80537,8120,4506.0,0,0,SIM,274.41524,000,000
90,26/02/1995,8,16,32,74,79,000,5,&nbsp,&nbsp,119.55251,343,94270,13629,3164.0,0,0,NÃO,000,000,000
91,05/03/1995,7,30,33,52,69,000,2,&nbsp,&nbsp,173.48932,296,1.17222,13303,3478.0,0,0,NÃO,000,000,000
92,09/03/1995,11,25,29,42,66,000,1,&nbsp,&nbsp,276.04828,306,90212,12924,2848.0,0,0,NÃO,000,000,000
93,12/03/1995,4,6,27,68,74,000,0,&nbsp,&nbsp,000,411,80709,16755,2640.0,0,0,SIM,331.71413,000,000
94,16/03/1995,1,19,59,65,80,000,10,&nbsp,&nbsp,73.21291,890,44991,28660,1863.0,0,0,NÃO,000,000,000
95,19/03/1995,6,43,50,63,71,000,0,&nbsp,&nbsp,000,198,1.84444,10593,4597.0,0,0,SIM,365.19874,000,000
96,23/03/1995,4,50,51,52,77,000,6,&nbsp,&nbsp,131.41941,347,1.21994,13979,4038.0,0,0,NÃO,000,000,000
97,26/03/1995,5,6,16,54,70,000,1,&nbsp,&nbsp,367.76584,401,91712,18661,2628.0,0,0,NÃO,000,000,000
98,30/03/1995,4,16,17,35,49,000,6,&nbsp,&nbsp,48.54052,530,54952,19954,1946.0,0,0,NÃO,000,000,000
99,02/04/1995,2,9,17,66,76,000,5,&nbsp,&nbsp,68.62790,467,73477,19632,2331.0,0,0,NÃO,000,000,000
100,06/04/1995,33,36,56,58,60,000,4,&nbsp,&nbsp,71.10921,271,1.04958,10263,3696.0,0,0,NÃO,000,000,000
101,09/04/1995,12,27,28,30,36,000,7,&nbsp,&nbsp,48.93716,852,40206,16678,2739.0,0,0,NÃO,000,000,000
102,16/04/1995,5,23,50,65,67,000,4,&nbsp,&nbsp,92.40302,377,98040,16659,2959.0,0,0,NÃO,000,000,000
103,23/04/1995,12,16,53,64,66,000,0,&nbsp,&nbsp,000,309,1.29237,16232,3281.0,0,0,SIM,399.34156,000,000
104,27/04/1995,20,30,36,48,53,000,2,&nbsp,&nbsp,365.86481,246,1.35117,12297,3604.0,0,0,NÃO,000,000,000
105,30/04/1995,3,7,45,46,65,000,1,&nbsp,&nbsp,341.89710,456,74977,18410,2476.0,0,0,NÃO,000,000,000
106,07/05/1995,20,21,43,45,67,000,0,&nbsp,&nbsp,000,235,1.73340,12629,4301.0,0,0,SIM,407.34820,000,000
107,11/05/1995,2,3,30,39,72,000,4,&nbsp,&nbsp,194.16663,386,95679,16894,2915.0,0,0,NÃO,000,000,000
108,14/05/1995,1,19,50,52,54,000,1,&nbsp,&nbsp,352.88111,323,1.09252,16307,2885.0,0,0,NÃO,000,000,000
109,18/05/1995,1,21,27,48,78,000,2,&nbsp,&nbsp,134.08506,187,1.43407,9870,3623.0,0,0,NÃO,000,000,000
110,21/05/1995,1,19,27,36,57,000,1,&nbsp,&nbsp,329.43618,519,63475,21550,2038.0,0,0,NÃO,000,000,000
111,25/05/1995,15,42,54,68,76,000,2,&nbsp,&nbsp,128.53982,388,66258,11580,2960.0,0,0,NÃO,000,000,000
112,28/05/1995,31,41,75,76,79,000,0,&nbsp,&nbsp,000,145,2.26252,7858,5567.0,0,0,SIM,328.06619,000,000
113,01/06/1995,12,14,42,61,69,000,2,&nbsp,&nbsp,332.10488,219,1.53490,12349,3629.0,0,0,NÃO,000,000,000
114,04/06/1995,10,20,44,58,65,000,2,&nbsp,&nbsp,172.93035,273,1.26689,13445,3430.0,0,0,NÃO,000,000,000
115,08/06/1995,2,21,38,54,73,000,2,&nbsp,&nbsp,141.20715,187,1.51024,9567,3936.0,0,0,NÃO,000,000,000
116,11/06/1995,16,20,34,56,57,000,2,&nbsp,&nbsp,175.46406,287,1.22275,14048,3331.0,0,0,NÃO,000,000,000
117,18/06/1995,7,11,24,42,49,000,11,&nbsp,&nbsp,37.40184,835,49272,27654,1984.0,0,0,NÃO,000,000,000
118,22/06/1995,14,23,26,56,77,000,1,&nbsp,&nbsp,260.61899,215,1.21218,10446,3327.0,0,0,NÃO,000,000,000
119,25/06/1995,2,16,19,26,27,000,7,&nbsp,&nbsp,46.23939,714,45333,24667,1750.0,0,0,NÃO,000,000,000
120,29/06/1995,7,39,48,58,62,000,1,&nbsp,&nbsp,258.40258,149,1.73425,8392,4106.0,0,0,NÃO,000,000,000
121,02/07/1995,19,22,53,69,77,000,2,&nbsp,&nbsp,159.64875,309,1.03332,13023,3269.0,0,0,NÃO,000,000,000
122,06/07/1995,2,8,12,53,54,000,4,&nbsp,&nbsp,66.12472,393,67303,16129,2187.0,0,0,NÃO,000,000,000
123,09/07/1995,8,20,64,68,73,000,1,&nbsp,&nbsp,346.07846,205,1.68819,11227,4110.0,0,0,NÃO,000,000,000
124,13/07/1995,10,11,12,23,37,000,3,&nbsp,&nbsp,91.27429,644,42519,23387,1561.0,0,0,NÃO,000,000,000
125,16/07/1995,10,13,22,50,66,000,0,&nbsp,&nbsp,000,425,80973,18357,2499.0,0,0,SIM,344.13318,000,000
126,20/07/1995,4,12,63,78,80,000,4,&nbsp,&nbsp,172.20010,515,66926,18851,2438.0,0,0,NÃO,000,000,000
127,23/07/1995,14,18,59,60,64,000,2,&nbsp,&nbsp,171.11018,371,92243,14697,3105.0,0,0,NÃO,000,000,000
128,27/07/1995,17,24,47,49,66,000,4,&nbsp,&nbsp,68.63306,375,73209,14572,2512.0,0,0,NÃO,000,000,000
129,30/07/1995,5,9,12,23,71,000,4,&nbsp,&nbsp,81.43582,691,47141,25782,1685.0,0,0,NÃO,000,000,000
130,02/08/1995,18,34,38,40,43,000,2,&nbsp,&nbsp,134.67244,317,84967,13086,2744.0,0,0,NÃO,000,000,000
131,06/08/1995,13,32,56,73,74,000,0,&nbsp,&nbsp,000,320,1.06506,13324,3411.0,0,0,SIM,340.81876,000,000
132,10/08/1995,19,25,63,74,77,000,4,&nbsp,&nbsp,177.89148,323,1.14782,14657,3373.0,0,0,NÃO,000,000,000
133,13/08/1995,13,18,43,47,53,000,3,&nbsp,&nbsp,120.03661,578,62303,22304,2153.0,0,0,NÃO,000,000,000
134,17/08/1995,10,28,60,62,74,000,1,&nbsp,&nbsp,272.43343,142,1.91854,8100,4485.0,0,0,NÃO,000,000,000
135,20/08/1995,2,53,57,62,64,000,2,&nbsp,&nbsp,181.64026,188,1.93235,10672,4539.0,0,0,NÃO,000,000,000
136,24/08/1995,9,19,24,59,61,000,5,&nbsp,&nbsp,55.49067,413,67180,16193,2285.0,0,0,NÃO,000,000,000
137,28/08/1995,13,14,37,66,75,000,1,&nbsp,&nbsp,369.49262,367,1.00679,18598,2649.0,0,0,NÃO,000,000,000
138,31/08/1995,13,23,37,56,80,000,0,&nbsp,&nbsp,000,305,85743,14000,2491.0,0,0,SIM,261.51732,000,000
